review,tanggal komentar
"buat kalian , daripada beli LCGC baru jauh lebih baik beli city car second , dari segi keamanan jauh lebih safety dan kenyamanan jauh lebih nyaman 🙏 , budget seratusan kecil udh dapet Nissan Teana THN muda 2013 keatas yg udh sunroof , dll , fiturnya setara BMW kelas atas 😁 , budget dibawah 60 jg dapet Nissan Teana THN 2006 yg udh sunroof jg ko , cocok buat para ibu² , look timeless 😁 , klo mau versi Suv nya ambil Nissan Terrano 😁 , Part² mudah , mesin bandel 🙏",2025-09-20 16:47:10
Gara2 keramik gue sampe sini,2025-06-15 15:24:29
SEKEN APA BARU. KALAU BARU NGGAK ADA HARGA SEGITU,2025-04-20 12:51:09
Agya kok skrng murah.aq beli agya GR tipe tertinggi Thun 2022 DP 50 cciln 3.600 slma 5 thun,2025-04-20 08:37:32
"itu harga bekas kali, harga baru agya sudah menyentuh 200jt sekarang",2025-04-20 12:01:33
"Itu harga brosur yaa, belom diskon.. mobil baru cash bisa dapet diskon sampe 40 jutaan 😂",2025-04-21 05:43:55
enak Sigra murah udh 3 baris 141 juta biasanya kalo beli cash masih dapat diskon,2025-04-20 06:26:21
grgr ada yg bilang ngundang valen pas acara di bangkalan seharga mobil lcgc aku langsung kesini😭😭😭,2026-03-27 03:53:25
170 mending Civic fd 1.8,2025-04-23 11:26:10
kenapa perbincangan ditengah tengah masyarakat katanya mobil LCGC sekarang harganya gak masuk di akal ya. untuk sekelas LCGC harga yg sekarang katanya mahal. jadi mikir lagi mau beli. 🙏🙏,2025-04-21 04:48:56
kok brio lebih mahal,2025-04-20 02:33:51
sigra calya knp bedanya jauh yah dr segi harga,2025-04-20 06:46:48
maunya mobil jazz 🥰,2025-04-20 07:01:37
tetap Brio dihati harga lebih mahal GK ngaruh,2025-04-20 07:00:14
Mobilio ga masuk ya,2025-04-20 09:38:03
minimal avanza lah.. biar gak dikira mobil murah.. bismillah bisa beli minimal avanza,2025-04-21 05:43:07
aku beli ayla 2014 harga 80jt kmahalan brarti y,2025-04-21 05:55:04
avanza .msuk gk sih,2025-04-20 11:01:19
kemarin beli calya 206 juta,2025-04-20 07:32:32
mau tanya kalo raize dan rocky LCGC ga,2025-04-20 08:16:54
Sigra boleh tuh kalo barunya harga segitu buat keluarga😇,2025-04-20 03:53:01
Karimun termasuk gak sh,2025-04-20 13:07:34
Avanza&Xenia terlupakan,2025-04-25 04:47:50
Ayla persis punyaku warna orens beda type mungkin enak kecil mungil irit Satset 🥰🥰👍👍,2025-04-23 14:41:56
Honda jazz kk gak termasuk,2025-04-20 10:06:49
mau tanya kaloo yaris lcgc gaaa?,2025-04-20 07:48:21
kegnya ini type terendahnya,2025-04-20 11:30:40
harga mobil Ertiga,2025-04-23 11:27:11
Brio tipe E cvt 168jt😀,2025-04-21 11:51:28
LCGC skrg harga nya MasyaAllah semua😌,2025-04-21 05:42:57
gara gara harga undang Valen DA 7 aku kesini😁😳,2026-03-27 03:54:00
yg pnting gk k panasan,2025-04-20 10:23:24
Ayla x matic 2025 cash nya brp ya ? OTR Karawang,2025-04-24 04:19:29
Dari keramik ke LCGC,2025-06-12 06:24:08
perasaan brio 190 jt dehh,2025-06-16 02:41:54
datsun go gk lcgc ya?,2025-04-20 12:29:25
kopi espresso ga masuk ini??,2025-04-20 12:14:54
Bismillah tahun depan brio di tangan sendiri,2025-04-20 15:09:08
sirion GK ada?,2025-04-24 06:45:40
"aku tunda tunda buat beli mobil, d tawarin SM suami Brio, Tpi knp y aku gau, dan akhirnya aku menunda buat beli mobil,,dan Ahir nya CRV impianku te capai",2025-07-09 09:32:28
"saya bangga beli Agya dari hasil keringat sendiri, perintis bukan pewaris 💪🙏",2025-04-20 09:10:09
Team brio 🤣🔥,2025-04-20 07:10:33
"ayla mana ada harga segitu, tahun lalu yg barunya masih di harga 158jt daerah kaltim",2025-04-20 15:34:43
mending chevrolet captiva harga segitu udh dapet suv cc gede sama udh awd,2026-03-25 05:57:17
Sigra DP 50 angsuran brpa,2025-04-20 04:46:36
"knp ga pilih CRV seken 2013 atau 2014 bahkan 2015 hrgnya ga jauh beda, dan lebih enak di pakai",2025-07-09 08:18:54
murah & nyaman,2026-03-22 16:11:52
Avanza masuk ngga sih?,2026-04-03 21:07:20
untung Mobilio ga da,2025-07-01 12:14:23
Suzuki Karimun sama Datsun go termasuk lcgc ngak,2026-04-17 18:48:15
ini OTR tahun brapa ya soalnyo beda harga sama mobil ku padahal brandnya sama,2025-08-13 21:05:54
kalo Brio rs termasuk lcgc ngga kan harga nya beda jauh,2026-03-25 03:52:56
mobil ini knapa ya paling di benci sama triliuner🗿😭,2026-01-09 06:20:57
kenapa mahal brio ya dripda sigra pdhal cuma 2 baris sigra kan lebih besar 3 baris ?,2025-08-05 04:50:36
sigra tipe R 141juta mimpi kali,2025-06-24 17:45:08
aku sendirian ya disini 😭,2025-06-19 06:26:23
Sigra 🥰,2025-10-24 23:11:00
Datsun go karimun mana jirr😭,2025-11-01 11:59:52
"muat brpa orang ini KA,maaf",2025-11-04 09:40:10
ternyata hampir sama harganya sama panther touring second.,2025-06-20 01:41:36
Agya masih ada kak yg keluaran baru?,2026-02-13 05:19:32
karimun gak ada?,2025-11-27 01:33:27
brio jg termasuk LCGC,2026-04-03 20:00:30
"dierah gempuran LCGC aku milih mobil tua jazz, satu.g kehujanan kepanasan, udh gt aj🤭 intinya mau mobil appn yg pntg punya,",2025-04-23 09:25:41
honda Brio idamnku,2025-04-25 04:17:59
ini harga kapan min? Nik 2025 DKI Ayla Mulai 140.300.000 Sigra Mulai 141.700.000,2025-04-23 05:53:31
ini LCGC kah,2026-02-28 21:02:03
katanya agya alya d bawah 100 juta mobil baru murah.. itu promo tahun brp yaa... smkn thn hrg baru kok naik,2025-04-22 21:54:28
hati hati dijalan kalo ketemu mobil mobil jenis ini yaa. 🙏,2025-06-05 04:16:25
ngaur hganya sy Bru beli Sigra aja hrga 189jt 😂 itu pun tipe x,2025-04-22 05:32:37
Wes bersyukur due sigra wayah udan ra kudanan wayah ono acara ora bingung golek jilihan,2025-04-22 09:35:29
"harga kapan ituuu,baru kmren aja masih 200an😭",2025-05-20 11:11:59
HONDA BRIO RP. 170 JUTAN 👍🏻👍🏻☺️☺️😊,2025-04-24 09:39:13
beli brio yg ini aja soalnya agak murah sikit soalnya baru punya tabungan 25rb,2025-06-18 04:30:18
semoga suatu saat bisa punya salah satu mobil ini'Aamiin ya allah,2025-04-22 11:05:59
Sigra R harga murah pajak 1.9jt masih kembali tp buat kerja gas2an oke😎,2025-04-23 00:58:51
gak ada hrga segitu barusan ke daeler,2025-04-24 03:26:23
Avanza termasuk ga babg😅,2025-06-17 13:19:52
dikampung pada diremehin pnya lcgc tp aku bangga🥺 segitu mampukuuu,2025-04-22 06:16:46
"kira-kira aq mw beli yg mn, duit sdh terkumpul 1 jt ini",2025-04-22 10:25:58
kirain bener harga segitu.liat ke sorumnya beda ya🤣,2025-05-26 05:15:53
Ini mobil rosok ya 🤣🤣 yang baru aja nyampai 300 juta,2025-04-24 04:14:33
selain Brio itu daihatsu ssmua😂😂😂,2025-04-24 11:06:06
Allahumasyali'ala muhammad 🥺,2025-04-23 06:38:17
mobil pemula.. udah gitu aja,2025-06-15 10:42:42
user avanza/xenia old diem di pojokan 😂,2025-04-23 12:01:36
"kalau sigra yang 1,200 cc brapa ya.",2025-04-20 08:18:49
Di Papua Ayla udah capai 211jt,2025-05-19 08:49:13
daihatsu & Toyota Toyota & Lexus 1 corp kan?,2025-04-24 06:30:21
bismillah Ayla dulu😭,2025-05-18 11:22:40
180 an twrmurah nya brio,2025-04-26 20:54:56
iya ini,2025-04-22 12:22:51
kesini gegara toko keramik,2025-06-15 02:52:04
seharga motor gua toh🤣,2025-06-20 04:00:21
